Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,109.66999816894531,110.23999786376953,108.91999816894531,110.04000091552734,104.85887145996094,5148600
2017-10-31,110.58000183105469,110.69000244140625,108.66000366210938,109.9800033569336,104.80168151855469,8002500
2017-11-01,110.5,111.4000015258789,110.41999816894531,111.06999969482422,105.84036254882812,6167300
2017-11-02,111.0199966430664,111.37000274658203,110.19999694824219,110.9800033569336,105.75459289550781,5506600
2017-11-03,110.94000244140625,111.41999816894531,110.51000213623047,111.36000061035156,106.11670684814453,3757600
2017-11-06,111.36000061035156,112.1500015258789,111.19999694824219,111.91999816894531,106.65032958984375,4094700
2017-11-07,112.25,112.47000122070312,111.55999755859375,112.08999633789062,106.81234741210938,3697900
2017-11-08,112.01000213623047,112.91000366210938,111.81999969482422,112.47000122070312,107.17443084716797,4417800
2017-11-09,111.80000305175781,112.22000122070312,110.93000030517578,112.13999938964844,106.85995483398438,4334700
2017-11-10,111.70999908447266,111.9800033569336,111.27999877929688,111.87999725341797,106.61223602294922,4198900
2017-11-13,111.55000305175781,111.86000061035156,111.33999633789062,111.4000015258789,106.15482330322266,7185600
2017-11-14,111.08000183105469,112.04000091552734,110.80999755859375,111.9800033569336,106.70753479003906,5679600
2017-11-15,111.33999633789062,111.87000274658203,110.13999938964844,110.25,105.05895233154297,6895100
2017-11-16,110.75,111.44000244140625,110.56999969482422,111.0199966430664,105.98017120361328,5655100
2017-11-17,110.69000244140625,110.91000366210938,109.69999694824219,109.81999969482422,104.83463287353516,8812400
2017-11-20,109.94999694824219,110.68000030517578,109.69000244140625,109.94999694824219,104.95873260498047,6873200
2017-11-21,110.44999694824219,111.48999786376953,110.30000305175781,111.44999694824219,106.39061737060547,6456500
2017-11-22,111.5,111.66000366210938,110.69999694824219,110.81999969482422,105.78925323486328,4067600
2017-11-24,111.30999755859375,112.16000366210938,111.13999938964844,111.97000122070312,106.88703155517578,3045600
2017-11-27,112.0,112.54000091552734,111.91000366210938,112.37999725341797,107.27842712402344,6620500
2017-11-28,112.5999984741211,113.62000274658203,112.55999755859375,113.36000061035156,108.21394348144531,6671300
2017-11-29,113.62000274658203,113.62000274658203,106.9000015258789,109.86000061035156,104.87281799316406,14505400
2017-11-30,110.5,112.58999633789062,110.02999877929688,112.58999633789062,107.47889709472656,18533300
2017-12-01,112.37999725341797,112.44000244140625,109.76000213623047,110.7300033569336,105.70333099365234,13101800
2017-12-04,111.33000183105469,111.44999694824219,106.97000122070312,107.43000030517578,102.55314636230469,18909100
2017-12-05,108.88999938964844,109.23999786376953,106.5999984741211,108.58000183105469,103.65092468261719,12081500
2017-12-06,108.48999786376953,110.16999816894531,108.26000213623047,109.73999786376953,104.7582778930664,7532100
2017-12-07,109.7699966430664,111.41000366210938,109.44999694824219,111.4000015258789,106.3429183959961,7384900
2017-12-08,112.12999725341797,112.61000061035156,111.81999969482422,112.5999984741211,107.48844909667969,7594900
